utc dates,local dates,CO2 (PARTS_PER_MILLION),PM25 (MICROGRAMS_PER_CUBIC_METER),PM10 (MICROGRAMS_PER_CUBIC_METER),TVOC (PARTS_PER_BILLION),IAQI (IAQI),TEMPERATURE (CELSIUS),HUMIDITY (PERCENT),people,door,ventilation,window
2025-02-02T21:00:00+00:00,2025-02-03T00:00:00+03:00,784.0,91.0,97.0,,9.0,22.84000015258789,28.69000053405762,1,0.5,1.0,0.0
2025-02-02T21:01:00+00:00,2025-02-03T00:01:00+03:00,782.5,89.5,92.5,,9.0,22.86000061035156,28.64499950408936,1,0.5,1.0,0.0
2025-02-02T21:02:00+00:00,2025-02-03T00:02:00+03:00,769.6666666666666,88.33333333333333,96.33333333333333,,9.0,22.86333401997884,28.65000025431315,1,0.5,1.0,0.0
2025-02-02T21:03:00+00:00,2025-02-03T00:03:00+03:00,767.0,83.0,91.0,,9.0,22.81999969482422,28.92000007629395,1,0.5,1.0,0.0
2025-02-02T21:04:00+00:00,2025-02-03T00:04:00+03:00,769.5,88.5,92.5,,9.0,22.84500026702881,28.96000003814697,1,0.5,1.0,0.0
2025-02-02T21:05:00+00:00,2025-02-03T00:05:00+03:00,777.3333333333334,89.66666666666667,97.33333333333333,,9.0,22.86333401997884,29.01000022888184,1,0.5,1.0,0.0
2025-02-02T21:06:00+00:00,2025-02-03T00:06:00+03:00,782.0,76.0,84.0,,9.0,22.90999984741211,28.95000076293945,1,0.5,1.0,0.0
2025-02-02T21:07:00+00:00,2025-02-03T00:07:00+03:00,781.5,86.5,92.5,,9.0,22.875,29.01999950408936,1,0.5,1.0,0.0
2025-02-02T21:08:00+00:00,2025-02-03T00:08:00+03:00,783.0,84.33333333333333,87.66666666666667,,9.0,22.85666656494141,29.04999987284343,1,0.5,1.0,0.0
2025-02-02T21:09:00+00:00,2025-02-03T00:09:00+03:00,781.0,79.0,85.0,,9.0,22.80999946594238,28.95000076293945,1,0.5,1.0,0.0
2025-02-02T21:10:00+00:00,2025-02-03T00:10:00+03:00,779.0,77.0,82.5,,9.0,22.79500007629395,28.9350004196167,1,0.5,1.0,0.0
2025-02-02T21:11:00+00:00,2025-02-03T00:11:00+03:00,774.3333333333334,76.33333333333333,86.33333333333333,,9.0,22.76000022888184,28.88666661580404,1,0.5,1.0,0.0
